2026-05-07 12:06:23,510 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:06:23,510 | INFO     | train_all | Processing state: Iowa
2026-05-07 12:06:23,524 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:06:23,524 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Iowa
2026-05-07 12:06:23,526 | ERROR    | train_all |   [SARIMA] Failed for Iowa: max_p must be >= start_p
2026-05-07 12:06:23,527 | INFO     | src.models.prophet_model | [Prophet] Training for state: Iowa
2026-05-07 12:06:23,530 | ERROR    | train_all |   [Prophet] Failed for Iowa: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:06:23,531 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Iowa
2026-05-07 12:06:24,105 | INFO     | src.models.xgboost_model | [XGBoost] Iowa metrics: {'rmse': 56557931.3352, 'mae': 41516944.1615, 'mape': 68.0354}
2026-05-07 12:06:24,459 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Iowa_xgboost.pkl
2026-05-07 12:06:24,460 | INFO     | src.models.lstm_model | [LSTM] Training for state: Iowa
2026-05-07 12:06:33,889 | INFO     | src.models.lstm_model | [LSTM] Iowa — training complete.
2026-05-07 12:06:37,253 | INFO     | src.models.lstm_model | [LSTM] Iowa metrics: {'rmse': 50642501.8588, 'mae': 47793015.3805, 'mape': 67.9198}
2026-05-07 12:06:53,039 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Iowa_lstm.pkl
2026-05-07 12:06:53,039 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:06:53,039 | INFO     | train_all | Processing state: Kansas
2026-05-07 12:06:53,057 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:06:53,057 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Kansas
2026-05-07 12:06:53,059 | ERROR    | train_all |   [SARIMA] Failed for Kansas: max_p must be >= start_p
2026-05-07 12:06:53,060 | INFO     | src.models.prophet_model | [Prophet] Training for state: Kansas
2026-05-07 12:06:53,063 | ERROR    | train_all |   [Prophet] Failed for Kansas: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:06:53,064 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Kansas
2026-05-07 12:06:53,694 | INFO     | src.models.xgboost_model | [XGBoost] Kansas metrics: {'rmse': 47589120.6924, 'mae': 35010909.6208, 'mape': 71.311}
2026-05-07 12:06:54,144 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Kansas_xgboost.pkl
2026-05-07 12:06:54,145 | INFO     | src.models.lstm_model | [LSTM] Training for state: Kansas
2026-05-07 12:07:04,590 | INFO     | src.models.lstm_model | [LSTM] Kansas — training complete.
2026-05-07 12:07:07,849 | INFO     | src.models.lstm_model | [LSTM] Kansas metrics: {'rmse': 38681768.3582, 'mae': 35653430.8287, 'mape': 70.8283}
2026-05-07 12:07:25,467 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Kansas_lstm.pkl
2026-05-07 12:07:25,467 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:07:25,467 | INFO     | train_all | Processing state: Kentucky
2026-05-07 12:07:25,487 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:07:25,487 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Kentucky
2026-05-07 12:07:25,488 | ERROR    | train_all |   [SARIMA] Failed for Kentucky: max_p must be >= start_p
2026-05-07 12:07:25,489 | INFO     | src.models.prophet_model | [Prophet] Training for state: Kentucky
2026-05-07 12:07:25,493 | ERROR    | train_all |   [Prophet] Failed for Kentucky: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:07:25,494 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Kentucky
2026-05-07 12:07:26,070 | INFO     | src.models.xgboost_model | [XGBoost] Kentucky metrics: {'rmse': 78585040.4693, 'mae': 57768439.0008, 'mape': 80.4765}
2026-05-07 12:07:26,520 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Kentucky_xgboost.pkl
2026-05-07 12:07:26,520 | INFO     | src.models.lstm_model | [LSTM] Training for state: Kentucky
2026-05-07 12:07:35,448 | INFO     | src.models.lstm_model | [LSTM] Kentucky — training complete.
2026-05-07 12:07:38,586 | INFO     | src.models.lstm_model | [LSTM] Kentucky metrics: {'rmse': 74680471.9491, 'mae': 69946584.8872, 'mape': 68.7468}
2026-05-07 12:07:55,519 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Kentucky_lstm.pkl
2026-05-07 12:07:55,520 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:07:55,520 | INFO     | train_all | Processing state: Louisiana
2026-05-07 12:07:55,535 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:07:55,535 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Louisiana
2026-05-07 12:07:55,537 | ERROR    | train_all |   [SARIMA] Failed for Louisiana: max_p must be >= start_p
2026-05-07 12:07:55,537 | INFO     | src.models.prophet_model | [Prophet] Training for state: Louisiana
2026-05-07 12:07:55,542 | ERROR    | train_all |   [Prophet] Failed for Louisiana: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:07:55,543 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Louisiana
2026-05-07 12:07:56,102 | INFO     | src.models.xgboost_model | [XGBoost] Louisiana metrics: {'rmse': 105785829.1554, 'mae': 75772946.6083, 'mape': 80.2361}
2026-05-07 12:07:56,307 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Louisiana_xgboost.pkl
2026-05-07 12:07:56,309 | INFO     | src.models.lstm_model | [LSTM] Training for state: Louisiana
